Tag Name;Address;Data Type;Respect Data Type;Client Access;Scan Rate;Scaling;Raw Low;Raw High;Scaled Low;Scaled High;Scaled Data Type;Clamp Low;Clamp High;Eng Units;Description;Negate Value
02P21_1;52AW00/02AMIAK:02P21_1.PNT\hist00;;;;;;;;0;25;;;;кг/см2;Р ЖА на Вх. 1-й кол-р;
02PD21_1;52AW00/02AMIAK:02PD21_1.PNT\hist00;;;;;;;;0;2500;;;;кгс/м2;PD ЖА на Вх. 1-й кол-р;
02T21_1;52AW00/02AMIAK:02T21_1.PNT\hist00;;;;;;;;-50;50;;;;град.С;Т ЖА на Вх. 1-й кол-р;
02P21_2;52AW00/02AMIAK:02P21_2.PNT\hist00;;;;;;;;0;25;;;;кг/см2;Р ЖА на Вх. 2-й кол-р;
02PD21_2;52AW00/02AMIAK:02PD21_2.PNT\hist00;;;;;;;;0;2500;;;;кгс/м2;PD ЖА на Вх. 2-й кол-р;
02T21_2;52AW00/02AMIAK:02T21_2.PNT\hist00;;;;;;;;-50;50;;;;град.С;Т ЖА на Вх. 2-й кол-р;
02P4_1;52AW00/02AMIAK:02P4_1.PNT\hist00;;;;;;;;0;10;;;;кг/см2;Р ГА в завод. сеть;
02PD4;52AW00/02AMIAK:02PD4.PNT\hist00;;;;;;;;0;2500;;;;кгс/м2;PD ГА в завод. сеть;
02T4;52AW00/02AMIAK:02T4.PNT\hist00;;;;;;;;0;200;;;;град.С;Т ГА в завод. сеть;
02P17;52AW00/02AZVS:02P17.PNT\hist00;;;;;;;;0;40;;;;кг/см2;Р АЗВС в цех;
02LC5;52AW00/02KOND:02LC5.PNT\hist00;;;;;;;;0;100;;;;%;Рег.L в баке КСП поз.15;
02LCV5;52AW00/02KOND:02LCV5.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап.L в  КСП поз.15;
02P8_1;52AW00/02KOND:02P8_1.PNT\hist00;;;;;;;;0;25;;;;кг/см2;Р ХОВ на орош. Насос.16,16а,16б;
02P2_1;52AW00/02PAR:02P2_1.PNT\hist00;;;;;;;;0;25;;;;кг/см2;Р пара из цеха кол-р 1;
02PD2_1;52AW00/02PAR:02PD2_1.PNT\hist00;;;;;;;;0;4000;;;;кгс/м2;PD пара из цеха кол-р 1;
02T2_1;52AW00/02PAR:02T2_1.PNT\hist00;;;;;;;;0;400;;;;град.С;Т пара из цеха кол-р 1;
02P2_2;52AW00/02PAR:02P2_2.PNT\hist00;;;;;;;;0;25;;;;кг/см2;Р пара из цеха кол-р 2;
02PD2_2;52AW00/02PAR:02PD2_2.PNT\hist00;;;;;;;;0;4000;;;;кгс/м2;PD пара из цеха кол-р 2;
02T2_2;52AW00/02PAR:02T2_2.PNT\hist00;;;;;;;;0;400;;;;град.С;Т пара из цеха кол-р 2;
02PC3;52AW00/02PAR:02PC3.PNT\hist00;;;;;;;;0;10;;;;кг/см2;"Рег.Р Пара (5) ";
02PCV3;52AW00/02PAR:02PCV3.PNT\hist00;;;;;;;;0;100;;;;%;"Рег.Клап.Р Пара(5) ";
02F5;52AW00/02PGAZ:02F5.PNT\hist00;;;;;;;;0;12500;;;;нм3/ч;"F ПГ в цех ";
02P5;52AW00/02PGAZ:02P5.PNT\hist00;;;;;;;;0;16;;;;кг/см2;"P ПГ в цех ";
