Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
01F21_1,52AW00/01AMIAK:01F21_1.PNT\hist00,,,,,,,,0,40,,,,,,
01F21_2,52AW00/01AMIAK:01F21_2.PNT\hist00,,,,,,,,0,40,,,,,,
01F4,52AW00/01AMIAK:01F4.PNT\hist00,,,,,,,,0,16000,,,,,,
01P21_1,52AW00/01AMIAK:01P21_1.PNT\hist00,,,,,,,,0,25,,,,,,
01P21_2,52AW00/01AMIAK:01P21_2.PNT\hist00,,,,,,,,0,25,,,,,,
01P4_1,52AW00/01AMIAK:01P4_1.PNT\hist00,,,,,,,,0,10,,,,,,
01T21_1,52AW00/01AMIAK:01T21_1.PNT\hist00,,,,,,,,-50,50,,,,,,
01T21_2,52AW00/01AMIAK:01T21_2.PNT\hist00,,,,,,,,-50,50,,,,,,
01T4,52AW00/01AMIAK:01T4.PNT\hist00,,,,,,,,0,150,,,,,,
01P17,52AW00/01AZVS:01P17.PNT\hist00,,,,,,,,0,40,,,,,,
01LC5,52AW00/01KOND:01LC5.PNT\hist00,,,,,,,,0,100,,,,,,
01P8_1,52AW00/01KOND:01P8_1.PNT\hist00,,,,,,,,0,25,,,,,,
01F2_1,52AW00/01PAR:01F2_1.PNT\hist00,,,,,,,,0,99.51399994,,,,,,
01F2_2,52AW00/01PAR:01F2_2.PNT\hist00,,,,,,,,0,99.51399994,,,,,,
01P2_1,52AW00/01PAR:01P2_1.PNT\hist00,,,,,,,,0,25,,,,,,
01P2_2,52AW00/01PAR:01P2_2.PNT\hist00,,,,,,,,0,25,,,,,,
01PC3,52AW00/01PAR:01PC3.PNT\hist00,,,,,,,,0,10,,,,,,
01T2_1,52AW00/01PAR:01T2_1.PNT\hist00,,,,,,,,0,400,,,,,,
01T2_2,52AW00/01PAR:01T2_2.PNT\hist00,,,,,,,,0,400,,,,,,
01F5,52AW00/01PGAZ:01F5.PNT\hist00,,,,,,,,0,12500,,,,,,
01F5_R,52AW00/01PGAZ:01F5_R.PNT\hist00,,,,,,,,0.64999998,0.70999998,,,,,,
01P5,52AW00/01PGAZ:01P5.PNT\hist00,,,,,,,,0,16,,,,,,
01PD5,52AW00/01PGAZ:01PD5.PNT\hist00,,,,,,,,0,2500,,,,,,
01T16,52AW00/01PGAZ:01T16.PNT\hist00,,,,,,,,-50,50,,,,,,
01LS12,52AW00/01SBS_OC:01LS12.PNT\hist00,,,,,,,,0,100,,,,,,
01PS10,52AW00/01SBS_OC:01PS10.PNT\hist00,,,,,,,,0,10,,,,,,
01S_IAC_1,52AW00/01SBS_OC:01S_IAC_1.PNT\hist00,,,,,,,,45,55,,,,,,
01S_IAC_2,52AW00/01SBS_OC:01S_IAC_2.PNT\hist00,,,,,,,,45,55,,,,,,
01F20_1,52AW00/01SKLAD:01F20_1.PNT\hist00,,,,,,,,0,80,,,,,,
01F20_2,52AW00/01SKLAD:01F20_2.PNT\hist00,,,,,,,,0,80,,,,,,
01L26_1,52AW00/01SKLAD:01L26_1.PNT\hist00,,,,,,,,0,7000,,,,,,
01L26_2,52AW00/01SKLAD:01L26_2.PNT\hist00,,,,,,,,0,7000,,,,,,
01L26_3,52AW00/01SKLAD:01L26_3.PNT\hist00,,,,,,,,0,7000,,,,,,
01L26_4,52AW00/01SKLAD:01L26_4.PNT\hist00,,,,,,,,0,7000,,,,,,
01P20_1,52AW00/01SKLAD:01P20_1.PNT\hist00,,,,,,,,0,20,,,,,,
01P20_2,52AW00/01SKLAD:01P20_2.PNT\hist00,,,,,,,,0,20,,,,,,
01Q20,52AW00/01SKLAD:01Q20.PNT\hist00,,,,,,,,45,60,,,,,,
01T20,52AW00/01SKLAD:01T20.PNT\hist00,,,,,,,,-50,50,,,,,,
01F1_1,52AW00/01VODA:01F1_1.PNT\hist00,,,,,,,,0,15,,,,,,
01P5_1,52AW00/01VODA:01P5_1.PNT\hist00,,,,,,,,0,10,,,,,,
01T1_1,52AW00/01VODA:01T1_1.PNT\hist00,,,,,,,,-50,50,,,,,,
01T1_2,52AW00/01VODA:01T1_2.PNT\hist00,,,,,,,,-50,50,,,,,,
01F1,52AW00/01VODA_XOB:01F1.PNT\hist00,,,,,,,,0,255.91038513,,,,,,
01LC1_1,52AW00/01VODA_XOB:01LC1_1.PNT\hist00,,,,,,,,0,100,,,,,,
01LC1_2,52AW00/01VODA_XOB:01LC1_2.PNT\hist00,,,,,,,,0,100,,,,,,
01LC6,52AW00/01VODA_XOB:01LC6.PNT\hist00,,,,,,,,0,100,,,,,,
01P1,52AW00/01VODA_XOB:01P1.PNT\hist00,,,,,,,,0,40,,,,,,
01P4,52AW00/01VODA_XOB:01P4.PNT\hist00,,,,,,,,0,10,,,,,,
01PC8,52AW00/01VODA_XOB:01PC8.PNT\hist00,,,,,,,,0,0.40000001,,,,,,
01T1,52AW00/01VODA_XOB:01T1.PNT\hist00,,,,,,,,0,100,,,,,,
01T5_3,52AW00/01VODA_XOB:01T5_3.PNT\hist00,,,,,,,,0,200,,,,,,
01F10,52AW00/01VOZD:01F10.PNT\hist00,,,,,,,,0,1881.25097656,,,,,,
01P10A,52AW00/01VOZD:01P10A.PNT\hist00,,,,,,,,700,800,,,,,,
01Q10A,52AW00/01VOZD:01Q10A.PNT\hist00,,,,,,,,-50,50,,,,,,
01T10,52AW00/01VOZD:01T10.PNT\hist00,,,,,,,,-50,50,,,,,,
01T100,52AW00/01VOZD:01T100.PNT\hist00,,,,,,,,-50,50,,,,,,
01T10A,52AW00/01VOZD:01T10A.PNT\hist00,,,,,,,,-50,50,,,,,,
01NH3_FM,52AW00/01AMIAK:01NH3_FM.PNT\hist00,,,,,,,,0,8000,,,,,,
01NH3_FQDM,52AW00/01AMIAK:01NH3_FQDM.PNT\hist00,,,,,,,,0,125,,,,,,
01NH3_FQMM,52AW00/01AMIAK:01NH3_FQMM.PNT\hist00,,,,,,,,0,4000,,,,,,
01NH3_KF,52AW00/01AMIAK:01NH3_KF.PNT\hist00,,,,,,,,0,300,,,,,,
01NH3_KFD,52AW00/01AMIAK:01NH3_KFD.PNT\hist00,,,,,,,,0,300,,,,,,
01NH3_KFM,52AW00/01AMIAK:01NH3_KFM.PNT\hist00,,,,,,,,0,300,,,,,,
01NG_KF,52AW00/01PGAZ:01NG_KF.PNT\hist00,,,,,,,,0,125,,,,,,
01NG_KFD,52AW00/01PGAZ:01NG_KFD.PNT\hist00,,,,,,,,0,125,,,,,,
01NG_KFM,52AW00/01PGAZ:01NG_KFM.PNT\hist00,,,,,,,,0,125,,,,,,
01HNO3_F,52AW00/01SKLAD:01HNO3_F.PNT\hist00,,,,,,,,0,150,,,,,,
01HNO3_FM,52AW00/01SKLAD:01HNO3_FM.PNT\hist00,,,,,,,,0,200,,,,,,
01HNO3_MNG,52AW00/01SKLAD:01HNO3_MNG.PNT\hist00,,,,,,,,0,125,,,,,,
01UMV_KF,52AW00/01VODA_XOB:01UMV_KF.PNT\hist00,,,,,,,,0,100,,,,,,
01UMV_KFD,52AW00/01VODA_XOB:01UMV_KFD.PNT\hist00,,,,,,,,0,100,,,,,,
01UMV_KFM,52AW00/01VODA_XOB:01UMV_KFM.PNT\hist00,,,,,,,,0,100,,,,,,
01JAM1_KF,52AW00/01AMIAK:01JAM1_KF.PNT\hist00,,,,,,,,0,1000,,,,,,
01JAM1_KFD,52AW00/01AMIAK:01JAM1_KFD.PNT\hist00,,,,,,,,0,1000,,,,,,
01JAM1_KFM,52AW00/01AMIAK:01JAM1_KFM.PNT\hist00,,,,,,,,0,1000,,,,,,
